Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;1 000
100 jaar;0;1 000
99 jaar;0;2 000
98 jaar;1 000;2 000
97 jaar;1 000;3 000
96 jaar;2 000;5 000
95 jaar;2 000;6 000
94 jaar;3 000;9 000
93 jaar;5 000;11 000
92 jaar;7 000;15 000
91 jaar;8 000;18 000
90 jaar;11 000;22 000
89 jaar;14 000;25 000
88 jaar;17 000;29 000
87 jaar;21 000;33 000
86 jaar;24 000;37 000
85 jaar;28 000;40 000
84 jaar;34 000;46 000
83 jaar;38 000;49 000
82 jaar;43 000;54 000
81 jaar;45 000;54 000
80 jaar;50 000;59 000
79 jaar;57 000;66 000
78 jaar;63 000;71 000
77 jaar;63 000;70 000
76 jaar;92 000;100 000
75 jaar;91 000;99 000
74 jaar;90 000;95 000
73 jaar;89 000;94 000
72 jaar;89 000;94 000
71 jaar;90 000;94 000
70 jaar;95 000;99 000
69 jaar;96 000;99 000
68 jaar;99 000;102 000
67 jaar;101 000;104 000
66 jaar;105 000;107 000
65 jaar;108 000;110 000
64 jaar;111 000;113 000
63 jaar;115 000;117 000
62 jaar;117 000;118 000
61 jaar;121 000;122 000
60 jaar;123 000;124 000
59 jaar;127 000;126 000
58 jaar;129 000;129 000
57 jaar;128 000;126 000
56 jaar;126 000;126 000
55 jaar;126 000;125 000
54 jaar;127 000;127 000
53 jaar;133 000;133 000
52 jaar;130 000;131 000
51 jaar;125 000;126 000
50 jaar;119 000;122 000
49 jaar;111 000;113 000
48 jaar;107 000;110 000
47 jaar;103 000;105 000
46 jaar;103 000;104 000
45 jaar;102 000;104 000
44 jaar;104 000;105 000
43 jaar;104 000;105 000
42 jaar;109 000;109 000
41 jaar;107 000;108 000
40 jaar;106 000;106 000
39 jaar;106 000;106 000
38 jaar;110 000;108 000
37 jaar;112 000;110 000
36 jaar;114 000;113 000
35 jaar;116 000;113 000
34 jaar;116 000;114 000
33 jaar;118 000;115 000
32 jaar;122 000;118 000
31 jaar;122 000;118 000
30 jaar;121 000;117 000
29 jaar;120 000;116 000
28 jaar;119 000;116 000
27 jaar;115 000;112 000
26 jaar;115 000;111 000
25 jaar;115 000;112 000
24 jaar;118 000;115 000
23 jaar;119 000;115 000
22 jaar;120 000;118 000
21 jaar;118 000;115 000
20 jaar;117 000;114 000
19 jaar;115 000;112 000
18 jaar;108 000;104 000
17 jaar;102 000;97 000
16 jaar;101 000;95 000
15 jaar;98 000;94 000
14 jaar;101 000;95 000
13 jaar;100 000;95 000
12 jaar;100 000;95 000
11 jaar;97 000;92 000
10 jaar;95 000;91 000
9 jaar;93 000;88 000
8 jaar;94 000;90 000
7 jaar;92 000;87 000
6 jaar;92 000;88 000
5 jaar;91 000;86 000
4 jaar;89 000;85 000
3 jaar;89 000;85 000
2 jaar;88 000;84 000
1 jaar;93 000;89 000
0 jaar;86 000;82 000
